0,1,2,3,4
totalScanTimeInSeconds,scansWithoutRegistration,lineItemVoidsPerPosition,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1
interaction_1,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_5,interaction_7
totalScanTimeInSeconds,scansWithoutRegistration,interaction_1,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1
totalScanTimeInSeconds,scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1,heredity_1
totalScanTimeInSeconds,average_seconds_per_item,scannedLineItemsPerSecond_0_1,interaction_5,heredity_1
totalScanTimeInSeconds,lineItemVoids,scannedLineItemsPerSecond,interaction_1,totalScanTimeInSeconds_0_1
totalScanTimeInSeconds,lineItemVoids,lineItemVoidsPerPosition,interaction_6,heredity_1
scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1,interaction_7,heredity_1
totalScanTimeInSeconds,grandTotal_0_1,scannedLineItemsPerSecond_0_1,interaction_5,interaction_9
grandTotal,lineItemVoids,lineItemVoidsPerPosition_0_1,interaction_5,heredity_1
scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,grandTotal_0_1,lineItemVoidsPerPosition_0_1,heredity_1
grandTotal,scannedLineItemsPerSecond,interaction_1,totalScanTimeInSeconds_0_1,lineItemVoids_0_1
totalScanTimeInSeconds,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition_0_1,interaction_5
totalScanTimeInSeconds,grandTotal,lineItemVoids_0_1,scannedLineItemsPerSecond_0_1,heredity_1
scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,lineItemVoids_0_1,interaction_5,interaction_9
totalScanTimeInSeconds,scannedLineItemsPerSecond,interaction_1,totalScanTimeInSeconds_0_1,interaction_5
totalScanTimeInSeconds,scannedLineItemsPerSecond,interaction_1,totalScanTimeInSeconds_0_1,interaction_7
trustLevel,lineItemVoids,scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,interaction_7
scannedLineItemsPerSecond,lineItemVoidsPerPosition,totalScanTimeInSeconds_0_1,interaction_7,interaction_9
totalScanTimeInSeconds,scannedLineItemsPerSecond,valuePerSecond,scannedLineItemsPerSecond_0_1,interaction_9
lineItemVoids,interaction_1,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_6
lineItemVoids,scannedLineItemsPerSecond,interaction_1,totalScanTimeInSeconds_0_1,grandTotal_0_1
lineItemVoidsPerPosition,totalScanTimeInSeconds_0_1,lineItemVoids_0_1,interaction_5,heredity_1
totalScanTimeInSeconds,lineItemVoids,interaction_1,scannedLineItemsPerSecond_0_1,interaction_5
totalScanTimeInSeconds,lineItemVoids,scannedLineItemsPerSecond,grandTotal_0_1,heredity_1
totalScanTimeInSeconds,scansWithoutRegistration,totalScanTimeInSeconds_0_1,lineItemVoids_0_1,scannedLineItemsPerSecond_0_1
totalScanTimeInSeconds,lineItemVoids,interaction_1,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1
totalScanTimeInSeconds,scannedLineItemsPerSecond,lineItemVoidsPerPosition,interaction_5,heredity_1
totalScanTimeInSeconds_0_1,lineItemVoids_0_1,lineItemVoidsPerPosition_0_1,interaction_5,interaction_9
trustLevel,totalScanTimeInSeconds,scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,interaction_7
valuePerSecond,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_5,heredity_1
lineItemVoids,lineItemVoidsPerPosition,interaction_1,totalScanTimeInSeconds_0_1,interaction_5
scannedLineItemsPerSecond,lineItemVoidsPerPosition,interaction_1,totalScanTimeInSeconds_0_1,interaction_7
totalScanTimeInSeconds,interaction_1,scannedLineItemsPerSecond_0_1,interaction_5,interaction_7
totalScanTimeInSeconds,interaction_1,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_5
grandTotal,scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,interaction_5,heredity_1
lineItemVoids,lineItemVoidsPerPosition,interaction_1,interaction_5,interaction_6
totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,valuePerSecond_0_1,interaction_6,interaction_9
totalScanTimeInSeconds,scannedLineItemsPerSecond,average_seconds_per_item,totalScanTimeInSeconds_0_1,interaction_9
totalScanTimeInSeconds,scansWithoutRegistration,scannedLineItemsPerSecond,valuePerSecond_0_1,interaction_9
totalScanTimeInSeconds,lineItemVoids,scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1
scannedLineItemsPerSecond,valuePerSecond,interaction_1,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1
totalScanTimeInSeconds,scannedLineItemsPerSecond,interaction_6,interaction_7,heredity_1
scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,valuePerSecond_0_1,interaction_9
scannedLineItemsPerSecond,lineItemVoidsPerPosition,totalScanTimeInSeconds_0_1,interaction_5,interaction_7
lineItemVoidsPerPosition,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_5,heredity_1
totalScanTimeInSeconds,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_5,heredity_1
lineItemVoidsPerPosition,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_7,interaction_9
lineItemVoids,scansWithoutRegistration,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_9
grandTotal,totalScanTimeInSeconds_0_1,lineItemVoids_0_1,scansWithoutRegistration_0_1,interaction_9
totalScanTimeInSeconds,scannedLineItemsPerSecond,lineItemVoidsPerPosition,interaction_5,interaction_6
trustLevel,totalScanTimeInSeconds,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_5
scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1,interaction_7,interaction_9
totalScanTimeInSeconds,scansWithoutRegistration,scannedLineItemsPerSecond,interaction_1,totalScanTimeInSeconds_0_1
totalScanTimeInSeconds_0_1,lineItemVoids_0_1,lineItemVoidsPerPosition_0_1,interaction_5,interaction_9
interaction_1,totalScanTimeInSeconds_0_1,lineItemVoids_0_1,scannedLineItemsPerSecond_0_1,interaction_6
interaction_1,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1,scannedLineItemsPerSecond_0_1,interaction_7
totalScanTimeInSeconds,scannedLineItemsPerSecond_0_1,interaction_6,interaction_7,interaction_9
lineItemVoidsPerPosition,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_7,heredity_1
valuePerSecond,interaction_1,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1,scannedLineItemsPerSecond_0_1
totalScanTimeInSeconds,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1,scannedLineItemsPerSecond_0_1,interaction_9
totalScanTimeInSeconds,scannedLineItemsPerSecond,lineItemVoids_0_1,interaction_5,heredity_1
totalScanTimeInSeconds,lineItemVoidsPerPosition,scannedLineItemsPerSecond_0_1,interaction_5,heredity_1
totalScanTimeInSeconds_0_1,lineItemVoids_0_1,scannedLineItemsPerSecond_0_1,interaction_6,heredity_1
totalScanTimeInSeconds,lineItemVoids,lineItemVoidsPerPosition_0_1,interaction_5,heredity_1
scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,valuePerSecond_0_1,interaction_5,heredity_1
totalScanTimeInSeconds,lineItemVoids,scannedLineItemsPerSecond_0_1,interaction_6,interaction_9
scannedLineItemsPerSecond,interaction_1,totalScanTimeInSeconds_0_1,lineItemVoidsPerPosition_0_1,interaction_5
interaction_1,totalScanTimeInSeconds_0_1,lineItemVoids_0_1,scansWithoutRegistration_0_1,lineItemVoidsPerPosition_0_1
totalScanTimeInSeconds,lineItemVoids,scansWithoutRegistration_0_1,scannedLineItemsPerSecond_0_1,heredity_1
lineItemVoidsPerPosition,interaction_1,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_5
scannedLineItemsPerSecond,interaction_1,totalScanTimeInSeconds_0_1,lineItemVoids_0_1,interaction_7
totalScanTimeInSeconds,lineItemVoids,scansWithoutRegistration,interaction_1,scannedLineItemsPerSecond_0_1
scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,lineItemVoids_0_1,interaction_6,interaction_9
totalScanTimeInSeconds,valuePerSecond,scannedLineItemsPerSecond_0_1,interaction_6,heredity_1
lineItemVoids,lineItemVoidsPerPosition,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_9
lineItemVoids,scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1,heredity_1
totalScanTimeInSeconds,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1,scannedLineItemsPerSecond_0_1,interaction_9
scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,lineItemVoids_0_1,interaction_7,interaction_9
totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_6,interaction_7,interaction_9
totalScanTimeInSeconds,lineItemVoids,scannedLineItemsPerSecond,scansWithoutRegistration_0_1,interaction_9
totalScanTimeInSeconds,scannedLineItemsPerSecond,interaction_1,scansWithoutRegistration_0_1,interaction_6
